query,name,place_id,full_address,country,city,site,type,description,category,subtypes,rating,reviews,reviews_link,photo,range,email_1,email_2,email_3,instagram,website_title,website_description
"Boutique Hotel, Calella de Palafrugell, 17210",Alga,ChIJPWbJbFxTuhIRc-I3Ne5KW6M,"Av. Joan Pericot i García, 55, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,https://www.algahotel.com/,Hotel,"Relaxed lodging offering sea views, an outdoor pool & a play area, plus a bar & dining.",hotels,"Hotel, Mediterranean restaurant, Resort hotel",4.3,896,"https://search.google.com/local/reviews?placeid=ChIJPWbJbFxTuhIRc-I3Ne5KW6M&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WLGf0uTgWV4CWFZZNKBCYl_vYvHTNv0LgFBLmDKAN_WxyExUwIfJCYkS4Y57OLrH4tCxpil171qPTAhEzZZsYbs6Zlu_kjvS3wqe7Hand1Zcf7mgpGTLGlOdiRBpqD9yW2UAbY3PWwUJdy-ISV3ptJ61noNFFaxw83sluGhpSGwFtJ0EgUgXUXsoQ=w800-h500-k-no,4 stars,alga@novarahotels.com,novarahotels@novarahotels.com,,https://www.instagram.com/hotelalga,Hotel Alga 4* | Calella de Palafrugell - Web Oficial,Hotel tranquil i familiar al costat de la platja de Calella de Palafrugell. Gaudeixi de les millors condicions reservant a la web oficial de l'hotel
"Boutique Hotel, Calella de Palafrugell, 17210",Casa Dos Torres,ChIJPxTpXl5TuhIRGWuW4nw9Pd0,"Carrer de Chopitea, 59, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,http://www.casadostorres.com/,Hotel,,hotels,"Hotel, Bed & breakfast",4.8,37,"https://search.google.com/local/reviews?placeid=ChIJPxTpXl5TuhIRGWuW4nw9Pd0&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WKRprHZ2p75YiISn3acp5eMLvY4ACgDKSsxjPDnay2AkhwIT3mepnXVGUrcpCXvtRTQL3FrGB56Bz3kEtKQsYa2hNGaym5gTKZRr-e-ifj-Dmw6sBc1qMmDSOlyfVSuIdyrdjlexoNzCivCd885UwwWTUZe1r_BCjC9wgxMXIF7matK2hjFUeYwww=w800-h500-k-no,2 stars,casadostorres@hotmail.com,,,,"Bed and Breakfast and Self Catering Holiday Villa – Costa Brava, Spain — Bed and Breakfast Holiday Villa – Costa Brava, Spain","Offering bed and breakfast and self catering holiday accommodation with swimming pool for up to 16 people in Calella de Palafrugell, Costa Brava, Spain."
"Boutique Hotel, Calella de Palafrugell, 17210",Casa Peya Hotel - adults only,ChIJWUkBKWJUuhIR_-9CRae4gr8,"Carrer de Cavallers, 2, 17200 Palafrugell, Girona",Spain,Palafrugell,http://www.casapeyahotel.com/,Hotel,"Bright rooms in a refined adults-only hotel with a bar & outdoor pool, plus a patio.",hotels,Hotel,4.9,164,"https://search.google.com/local/reviews?placeid=ChIJWUkBKWJUuhIR_-9CRae4gr8&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WIvHsE3itoOG0ewg1Pc0r0punMdAF15r_49QM30gzIO1PEdymiPUKiXMTmx7qSGkyg0CDcfd4W00c9NArBZd9tExql1JmsDWVmCDfI33qldpZfQUadtE0GS6NCdahHCQbvKTkXfVPjxpniIh6t45I_Y5ynFaleHB1H4WmFzoq0DC5nw2jq3tlgqjg=w800-h500-k-no,3 stars,clients@casapeyahotel.com,,,https://www.instagram.com/explore,Inici - Casa Peya Hotel,
"Boutique Hotel, Calella de Palafrugell, 17210",Hotel Casa Calella,ChIJx9t7c1tTuhIRpH111FDdzQ4,"Carrer de Codina, 14, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,http://www.casacalella.com/,Hotel,"Casual guesthouse set in a 19th-century house offering unfussy quarters, a garden & free breakfast.",hotels,Hotel,4.7,68,"https://search.google.com/local/reviews?placeid=ChIJx9t7c1tTuhIRpH111FDdzQ4&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WKETHJI2jnPvshiRkiUbUlnaj3pTLJtTfZJ3kFnzVYkV4RypNH8z0gTQ_rqjlLz-fJmZBTOzsUPGGfyLWyAYH1r3u8g5ZtahNJX5LZa5e9WrNfVUi-4jfUMoEWL9cGrNW8vZ-h-oDhez9yp-x4rtKAQYJcvI2qYmySfLe1B6e12qCeILGttAbESpA=w800-h500-k-no,,info@casacalella.com,,,,Hotel Casa Calella on Calella de Palafrugell. Costa Brava. Girona,
"Boutique Hotel, Calella de Palafrugell, 17210",Hotel Garbí,ChIJ-R11X1hTuhIRN9ElJnraMZM,"Avinguda de Baldomer Gili i Roig, 20, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,http://www.hotelgarbi.com/,Hotel,"Informal rooms, some with sea views, in a casual hotel offering free breakfast & an outdoor pool.",hotels,Hotel,4.1,557,"https://search.google.com/local/reviews?placeid=ChIJ-R11X1hTuhIRN9ElJnraMZM&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WLDbyhHYIBSCGGxsI9fWRaIQUL-tJFrj9G4EnUvhQYb3ZSLbwXtjYThPg_51kWLfn_VB8rVARavQPyUmNGV5P8wYy9ZiPj3VLRfh9Smzfq9N9PNH97UHbqwNnojLgcOMoCdKTrxbqXHrbc4qNDEJQPZxodIvLz760yjOnwW3uXZE4ETs9cz5MiffA=w800-h500-k-no,3 stars,info@hotelgarbi.com,,,https://www.instagram.com/hotelgarbi,Family Hotel in Costa Brava  | Hotel Garbí - Calella de Palafrugell,"Hotel Garbí, run by the Serra family, is in Calella de Palafrugell, one of the most beautiful towns on the Costa Brava. Its facilities are designed to be enjoyed and to help you relax, and it has a swimming pool and magnificent gardens"
"Boutique Hotel, Calella de Palafrugell, 17210",Hotel hcp,ChIJtS-WqFlTuhIRSTnOvW5bK5U,"Carrer de la Costa Verda, 29, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,https://hotelhcp.com/,Hotel,"Unpretentious rooms, some with terraces, in an informal hotel offering sea views & a bar.",hotels,Hotel,4.8,128,"https://search.google.com/local/reviews?placeid=ChIJtS-WqFlTuhIRSTnOvW5bK5U&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WLA9phHUMKfuyBXT5iWjoghdW1fQ6Holul2uouOcHvKVOpuILLTv36FEXxWm4mWAp13T4cVqtjN4oZWGWcBpJ_0V-eCx1x6R2qseKtgQznJkkDEi4ir91_tGNt8CN4Km8UWZ1Kei6d5jR0dlSYZ-x3xBBL0_6AQJSaOPcjW4YQPL_LffUVJGFgDZw=w800-h500-k-no,3 stars,info@hotelhcp.com,,,https://www.instagram.com/hotelcalelladepalafrugell,hotel HCP Calella de Palafrugell | un hotel amb la influència de Calella,Voleu gaudir d'una estada única a Calella de Palafrugell? El nostre hotel té tot el que necessiteu per desconnectar i descobrir la nostra zona. Reserveu ara!
"Boutique Hotel, Calella de Palafrugell, 17210",Hotel La Torre,ChIJn8ul5kRTuhIRIqD8FVrH5GI,"Passeig de la Torre, 26, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,https://www.latorre.cat/,Hotel,"Airy rooms, some with sea views, in a casual, seasonal hotel offering a restaurant & free breakfast.",hotels,"Hotel, Bar, Restaurant",4.0,731,"https://search.google.com/local/reviews?placeid=ChIJn8ul5kRTuhIRIqD8FVrH5GI&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh5.googleusercontent.com/p/AF1QipOEj5-BAygT0M7m-VnXJDSzM7c7fmS37Xht9xdY=w800-h500-k-no,1 stars,hotel@latorre.cat,,,,Hotel La Torre de Calella de Palafrugell,~
"Boutique Hotel, Calella de Palafrugell, 17210",Mediterrani Hotel,ChIJi3Cqm1lTuhIRxIPBZvVcRZs,"Carrer Lladó, 55, 17210 Palafrugell, Girona",Spain,Palafrugell,http://www.hotelmediterrani.com/,Hotel,"Unfussy seasonal hotel on a hill overlooking the beach, offering a cafe/bar & sea views.",hotels,"Hotel, Mediterranean restaurant, Resort hotel, Restaurant",4.4,450,"https://search.google.com/local/reviews?placeid=ChIJi3Cqm1lTuhIRxIPBZvVcRZs&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WJoxakWf5PeKszqTJtNNCcr4ldCf_pdmCpPK_GGbLkZfCeyhf4pykEiYRWneZ9rAOcPbmDfAWvrRUvGg8oe--iQBsJFqk5z5NTF7MEBMqmC01R_07LrYz9834jOpS4Wu-5XvXuOb5DQbQ-noCfwUYD0n5L2PZL2x8q7fMbGaDQR9Zax5NEdHAuMWg=w800-h500-k-no,3 stars,reserves@hotelmediterrani.com,,,https://www.instagram.com/hotelmediterrani,Hotel en primera linea de mar en Calella de Palafrugell - Costa Brava | Hotel Mediterrani,"El hotel mediterrani, con preciosas vistas al mar, está situado en primera línea de mar en Calella de Palafrugell (Costa Brava)."
"Boutique Hotel, Calella de Palafrugell, 17210",Port Bo,ChIJF6qCjltTuhIRxkvpCpTIb1Q,"Carrer August Pi Sunyer, 6, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,http://www.hotelportbo.net/,Hotel,Simple rooms & apartments in a relaxed hotel offering an outdoor pool & complimentary breakfast.,hotels,"Hotel, Serviced apartment",4.5,488,"https://search.google.com/local/reviews?placeid=ChIJF6qCjltTuhIRxkvpCpTIb1Q&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh3.googleusercontent.com/gps-proxy/AMy85WJ_XYThwOR70DKB6N9nrQgIMJX3Oeq9nQIRZrzAAIWEkcDTg94_L5_z9v6APUHDMSp80ZMKQGSgqeNiZ1upe0QU-ZTEH9v432D32fRcly1a_JUfmrmXZ1TEgL5pFa_6_UOb-K6C7QCIP5jbJ3vxSogMKn6ddh1lYg-j52Cfy1U8bas5KDadZfDK5w=w800-h500-k-no,3 stars,hportbo@grn.es,,,,Hotel Port Bo,"Hotel Port Bo es troba al centre de la meravellosa marc incomparable de la Costa Brava, concretament a la petita vila de Calella de Palafrugell. Aquesta població conserva encara l'encant original d'una vila de pescadors; neta, tranquil·la i sense grans edificacions, envoltada de boscos amb pinedes que arriben fins a la vora de la mar i li confereixen un paisatge fascinant."
"Boutique Hotel, Calella de Palafrugell, 17210",Sant Roc Hotel,ChIJy8fE2VlTuhIR9pKm4a0kCdk,"Plaça Atlàntic, 2, 17210 Calella de Palafrugell, Girona",Spain,Calella de Palafrugell,http://www.santroc.com/,Hotel,"Classic rooms & suites in a relaxed cliff-top hotel with 2 restaurants, sea views & breakfast.",hotels,"Hotel, Resort hotel",4.4,1563,"https://search.google.com/local/reviews?placeid=ChIJy8fE2VlTuhIR9pKm4a0kCdk&q=Boutique+Hotel,+Calella+de+Palafrugell,+17210&authuser=0&hl=en&gl=ES",https://lh5.googleusercontent.com/p/AF1QipMsbVY7MnoTNeaZGfYmhZywdDxjt98GKo9Gctf2=w800-h500-k-no,3 stars,info@santroc.com,,,https://www.instagram.com/hotelsantroc,INICIO - Sant Roc,1
