query,name,site,subtypes,category,phone,full_address,city,rating,reviews_link,photos_count,photo,about,description,place_id,email_1,email_1_full_name,email_1_title,email_2,email_2_full_name,email_2_title,email_3,email_3_full_name,email_3_title,phone_1,phone_2,phone_3,facebook,instagram,linkedin,twitter,website_title,website_description,website_keywords
"Cabin rentals with bunk beds, 94901, California, USA",Alegria Oceanfront Inn & Cottages,http://www.oceanfrontmagic.com/,Bed & breakfast,Bed & breakfast,+1 707-937-5150,"44781 Main St, Mendocino, CA 95460",Mendocino,4.8,https://search.google.com/local/reviews?placeid=ChIJXZ_KvcqygYARGbyT1zkyNVI&q=*&authuser=0&hl=en&gl=US,281.0,https://lh5.googleusercontent.com/p/AF1QipMKTM_qfaB_gtV3J7YmtkQZ87xMP5xHYpphW2K-=w800-h500-k-no,"{""Other"": {""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Breakfast"": true, ""Star rating"": null, ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""3:00 PM"", ""LGBTQ+ friendly"": true}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Cozy, individually decorated rooms & cottages in a former sea captain's house dating from 1861.",ChIJXZ_KvcqygYARGbyT1zkyNVI,inn@oceanfrontmagic.com,,,hillleland@oceanfrontmagic.com,Elaine Hillleland,,alegriainn@yahoo.com,Elaine Hillesland,Owner With Husband,7079375150,17079375150,,https://www.facebook.com/Alegria-Oceanfront-Inn-Cottages-Mendocino-122242191169852/,https://www.instagram.com/alegriainn,,,"Mendocino, CA Bed and Breakfast | Alegria Inn | Oceanfront Rooms",,
"Cabin rentals with bunk beds, 95033, California, USA",Inn San Francisco,http://www.innsf.com/?utm_source=google,"Bed & breakfast, Hotel, Inn",Bed & breakfast,+1 800-359-0913,"943 S Van Ness Ave, San Francisco, CA 94110",San Francisco,4.9,"https://search.google.com/local/reviews?placeid=ChIJyZqebzl-j4ARQNJ9IscV_JU&q=Cabin+rentals+with+bunk+beds,+95033,+California,+USA&authuser=0&hl=en&gl=US",969.0,https://lh3.googleusercontent.com/gps-proxy/AMy85WIMwLSOKn7SyNqEJ0FewPi1LEtFdkcCtGl8u-6rcByFoIP4lW7bBzUCJaEbmFqS7JdI9lsG15TbuSNpJ_KpFij7OTSRAYLFrCPA81pV2yqyKL_AhXTB0WaV5WSfreiLzhMGwS3eWnOK0_uytGVbX8iSouwrxDdNvcA6OjXV7Sygfi0X5Njgg-_OHNXnuZ8sK9AVyA=w800-h500-k-no,"{""Other"": {""Free breakfast"": true, ""Free Wi-Fi"": true, ""Air-conditioned"": true, ""Breakfast"": true, ""Star rating"": ""2 stars"", ""Check-out time"": ""12:00 PM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Antiques-filled rooms in a storied hideaway featuring a garden, a rooftop sundeck & free breakfast.",ChIJyZqebzl-j4ARQNJ9IscV_JU,innkeeper@innsf.com,Lenny,Innkeeper,martin@innsf.com,Martin Neely,Owner,martyn@innsf.com,Connie WU,Owner,14156410188,,,http://www.facebook.com/pages/The-Inn-San-Francisco/198331714955,,,https://twitter.com/InnSanFrancisco,Inn San Francisco: San Francisco Bed and Breakfast,"Enjoy Inn San Francisco bed and breakfast in the historic Mission district, near Castro. We offer spa tub rooms, garden cottage rooms & more. Book online Today!",San Francisco Bed and Breakfast
"Outdoor wedding venues with lodge, 94599, California, USA","Maison Fleurie, A Four Sisters Inn",https://www.maisonfleurienapa.com/,"Hotel, Bed & breakfast",Bed & breakfast,+1 707-944-2056,"6529 Yount St, Yountville, CA 94599",Yountville,4.7,"https://search.google.com/local/reviews?placeid=ChIJcTlfslZVhIARYnkkUmZLMK0&q=Outdoor+wedding+venues+with+lodge,+94599,+California,+USA&authuser=0&hl=en&gl=US",409.0,https://lh3.googleusercontent.com/gps-proxy/AMy85WIei12yg-_RchG7NJiqPf5qU4Vf8nkS_ldKbDMxmTaRSU4h-41G38WyE39kURCVnrzoYdEHkkzFvHtNqu7f7FX91EZA0jpGPehPjocSAracPu68ffEM02q1j5KoObSDAzigZdK4SfTAjYBzVJDWIykrsyDW5mJ2xPn8Q73-wXYmvAf3e_fNwIR9=w800-h500-k-no,"{""Other"": {""Pool"": true, ""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Star rating"": ""4 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""4:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Circa 1873 French-country B&B with plush rooms, free Wi-Fi, an outdoor pool & afternoon wine hour.",ChIJcTlfslZVhIARYnkkUmZLMK0,maisonfleurie@foursisters.com,,,,,,,,,17079442056,,,https://www.facebook.com/293691600641303,,http://linkedin.com/company/maison-fleurie,,Yountville B&B - Maison Fleurie - Napa Valley CA Boutique Hotels,"Offering charming accomodations, Maison Fleurie is a French Country style bed and breakfast located in Yountville, California.",
"Outdoor wedding venues with lodge, 95442, California, USA",Beltane Ranch,http://www.beltaneranch.com/,"Bed & breakfast, Ranch",Bed & breakfast,+1 707-833-4233,"11775 Sonoma Hwy, Glen Ellen, CA 95442",Glen Ellen,4.9,"https://search.google.com/local/reviews?placeid=ChIJT0DSemNShIARlUz_ODpgS4w&q=Outdoor+wedding+venues+with+lodge,+95442,+California,+USA&authuser=0&hl=en&gl=US",453.0,https://lh3.googleusercontent.com/gps-proxy/AMy85WJIMuh3SclZSPg4IMVrvQG3sWQ7y1N6W7D5K91JJ_V1l1VqvMJy4a7cvIFo0ajRcKqGZneoUZWwqz0OAyCKATmg59JH_6AVXlOAhjGL8R8pkY5t-5rpnIhDqlH8SKTyHVmulPp3FoEidHh0OfEZ-RWfqGafopgJc7wBPgmZ8MaHPLXZlx04PiXUvA=w800-h500-k-no,"{""Other"": {""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Air-conditioned"": true, ""Star rating"": ""4 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Refined B&B on a working ranch with vineyards & orchards, plus walking trails & a tennis court.",ChIJT0DSemNShIARlUz_ODpgS4w,alexa@beltaneranch.com,Alexa Wood,Manager,anne@beltaneranch.com,Anne Soulier,Ranch Manager,angelica@beltaneranch.com,Angelica Hurtado,Head Of Housekeeping,,,,https://www.facebook.com/beltaneranch/,,http://www.linkedin.com/company/8583668,,,,
"Outdoor wedding venues with lodge, 94599, California, USA","Lavender, A Four Sisters Inn",https://www.lavendernapa.com/,"Hotel, Bed & breakfast",Bed & breakfast,+1 707-944-1388,"2020 Webber Ave, Yountville, CA 94599",Yountville,4.7,"https://search.google.com/local/reviews?placeid=ChIJJ8Ge51BVhIAR62k9yHh_82w&q=Outdoor+wedding+venues+with+lodge,+94599,+California,+USA&authuser=0&hl=en&gl=US",298.0,https://lh5.googleusercontent.com/p/AF1QipPpulM32vqZ8gBNYXagFk0FogyHenFZ9aaGrvaG=w800-h500-k-no,"{""Other"": {""Pool"": true, ""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Star rating"": ""3 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""4:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Colorful, airy rooms in a genteel hotel offering breakfast & Wi-Fi, plus a lavender garden.",ChIJJ8Ge51BVhIAR62k9yHh_82w,chances_home@yahoo.com,Chance Tyler,General Manager,lavender@foursisters.com,,,,,,7079441388,,,,,http://www.linkedin.com/company/9779108,,Yountville B&B - Lavender Inn - Napa Valley Boutique Hotels,"Offering luxurious comforts, Lavender is a charming bed and breakfast located in Yountville, California in the heart of Napa wine country.",
"Mountain lodges with event space, 95448, California, USA",Grape Leaf Inn,http://www.grapeleafinn.com/,Bed & breakfast,Bed & breakfast,+1 707-433-8140,"539 Johnson St, Healdsburg, CA 95448",Healdsburg,4.9,"https://search.google.com/local/reviews?placeid=ChIJ-di6sswQhIARSBhFE7WoITU&q=Mountain+lodges+with+event+space,+95448,+California,+USA&authuser=0&hl=en&gl=US",224.0,https://lh3.googleusercontent.com/gps-proxy/AMy85WKIBWZRuwc8UMby-uREfrJu7Z7IbhmujJ7JiYBOZ4VFenGJ6JeFcW9rUxSIVlDOGSINFLLrzPLdU3HDfLP3IlDb_ZRUr90Fl0G3a5zO2qGau5RVR_89twezm3nphCkCIyoRX4OYffvMORLDDrCSqW4Zuf-WqTGFWKd4Ht4n8LQTRfd9cBw_GBVc0Q=w800-h500-k-no,"{""Other"": {""Pool"": true, ""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Star rating"": ""4 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""4:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}",Stylish adults-only B&B offering romantic rooms with period features in a country garden setting.,ChIJ-di6sswQhIARSBhFE7WoITU,thespa@grapeleafinn.com,,,info@grapeleafinn.com,,,reservations@wilsonartisanwines.com,,,,,,https://www.facebook.com/grapeleafinn,https://instagram.com/grapeleafinn,,https://twitter.com/GrapeLeafInn,Grape Leaf Inn,,
"Outdoor wedding venues with lodge, 94562, California, USA",Inn on Randolph,https://www.innonrandolph.com/,"Wedding venue, Bed & breakfast",Bed & breakfast,+1 707-257-2886,"411 Randolph St, Napa, CA 94559",Napa,4.7,"https://search.google.com/local/reviews?placeid=ChIJqaJ19mkGhYARBbLbf4j6ZC8&q=Outdoor+wedding+venues+with+lodge,+94562,+California,+USA&authuser=0&hl=en&gl=US",227.0,https://lh3.googleusercontent.com/gps-proxy/AMy85WJ9dmTSDCuMT7CMVj1dsrxQ7NgInc1W6UzjWTmnN8SpVSiQHtjsFHDMi-mNPUBOML3KugSrITU0YJfbnhFt9luWFG1NkR_P3kHsn_p-ySCQ31LY7KDv6064YLdQyke611DWfBydmfKuwAdtIvsRbGLYZHjAGEvFKe5_ErOvSNtDT5ePI6CdaaqPPg=w800-h500-k-no,"{""Other"": {""LGBTQ+ friendly"": true}}","Upscale Victorian B&B offering polished rooms & cottages, plus cooked breakfast & gardens.",ChIJqaJ19mkGhYARBbLbf4j6ZC8,scott.pullins@innonrandolph.com,scott pullins,President,linda.warren@innonrandolph.com,linda warren,Accounting Operations Supervisor,thom.panasuk@innonrandolph.com,thom panasuk,Director Of Sales And Marketing,,,,https://www.facebook.com/InnOnRandolph,https://www.instagram.com/innonrandolph,http://www.linkedin.com/company/3912868,,Inn on Randolph | Best Rates at our Boutique Napa Valley Bed and Breakfast,"Recognized by the Huffington Post, WSJ and ABC as one of the country's top inns, the Inn on Randolph Napa redefines the bed and breakfast experience in Napa, CA.",
"Mountain lodges with event space, 94937, California, USA",Dancing Coyote Beach Cottages,http://www.dancingcoyotebeach.com/,"Bed & breakfast, Hotel",Bed & breakfast,+1 415-669-7200,"12794 Sir Francis Drake Blvd, Inverness, CA 94937",Inverness,4.8,"https://search.google.com/local/reviews?placeid=ChIJO2hfSn_PhYARHHcFzTvEhks&q=Mountain+lodges+with+event+space,+94937,+California,+USA&authuser=0&hl=en&gl=US",142.0,https://lh5.googleusercontent.com/p/AF1QipNuKq7sUQK0_EUWZ1pqm5E-zUXyohpblvDWo1xZ=w800-h500-k-no,"{""Other"": {""Free Wi-Fi"": true, ""Beach access"": true, ""Wi-Fi"": true, ""Parking"": true, ""Star rating"": null, ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true}}","Modern bayside cottages with rustic-chic decor, private decks & kitchens, plus a private beach.",ChIJO2hfSn_PhYARHHcFzTvEhks,dancingcoyotebeachcottages@gmail.com,,,,,,,,,,,,,,,,Dancing Coyote Beach Cottages - We are OPEN!,,
"Mountain lodges with event space, 94937, California, USA",Osprey Peak Bed & Breakfast,http://www.ospreypeak.com/,Bed & breakfast,Bed & breakfast,+1 415-669-1467,"10 Miwok Way, Inverness, CA 94937",Inverness,5.0,"https://search.google.com/local/reviews?placeid=ChIJ9Uqn95XPhYARM1MqcCcsum8&q=Mountain+lodges+with+event+space,+94937,+California,+USA&authuser=0&hl=en&gl=US",27.0,https://lh5.googleusercontent.com/p/AF1QipNc65ZVkCIRXvogA2mvW4RW0vqbB6LimuBWRKVo=w800-h500-k-no,"{""Other"": {""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Breakfast"": true, ""Star rating"": null, ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""4:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Japanese-inspired B&B in a coastal forest, offering 3 serenely decorated rooms, free cheese & wine.",ChIJ9Uqn95XPhYARM1MqcCcsum8,innkeeper@ospreypeak.com,?,,,,,,,,14156691467,,,https://www.facebook.com/OspreyPeak,https://www.instagram.com/ospreypeakbedbreakfast,,https://twitter.com/OspreyPeakBnB,"Point Reyes, CA Lodging at Osprey Peak Bed & Breakfast","Osprey Peak Bed & Breakfast is a peaceful, secluded three-room inn with a relaxing Zen-inspired Japanese farmhouse aesthetic located amidst the wild, sunny coastal forest near Tomales Bay State Park and the Point Reyes National Seashore.",
"Mountain lodges with event space, 95442, California, USA",Sonoma Mountain Terrace,,Bed & breakfast,Bed & breakfast,,"4338 Lichau Rd, Penngrove, CA 94951",Penngrove,5.0,"https://search.google.com/local/reviews?placeid=ChIJz06NUHtNhIARvncPStm2OZs&q=Mountain+lodges+with+event+space,+95442,+California,+USA&authuser=0&hl=en&gl=US",25.0,https://lh5.googleusercontent.com/p/AF1QipM08eVHnUmOBa2cpUV398k6v4cT7fRpW6px6VPX=w800-h500-k-no,{},,ChIJz06NUHtNhIARvncPStm2OZs,,,,,,,,,,,,,,,,,,,
